user_id,business_id,stars,text,month,year,hour,source
vGMsqtn5CovrNzJZWfyC1w,idP674ti6a8yg8z2xFcCgA,1.0,third and final trip to this location  visited around christmas and was once again disappointed by the lack of staff and the attitude of the younger women that work there  i waited for someone to even look in my direction while i waited in the designated checkout location  out of the three cashiers  one was trying to help someone with a return the second one left the counter to help someone that had a question and the third cashier was nearest to me was on the phone trying to solve a customer issue  she reluctantly hung up from the call and waited on me never looked at me mumbled an apology for the wait all without ever making eye contact everstock is always low many shelves are bare and staff is scarce on the sales floorthe staff that is there looks like you are bothering them if you have a question  the ulta store in springfield is night and day different  plenty of helpful staffdone with this location ,1,2019,03:41:11,Y
jyc88KFa8QiFTojcTpwwRA,Vsx34Z-N5S5S0o0f2G6ORw,5.0,amina was so helpful and very friendly i found everything i was looking for thanks to her,5,2019,19:00:13,Y
ymquu8umi3hXsKnYP0JfbQ,fWMPbickerGWohPy2vDL5A,2.0,i used to like coming here but the last handful of visits i feel like im watched like a hawk because they think im going to shoplift makes me very uncomfortable i like to browse while taking my time so i can see the variety of products especially since you cant really see or test out anything while shopping online i have a credit card with ulta and im also a frequent shopper so its pretty frustrating and offensive to be treated this way if i bring my kids in with me who are older girls its even worse with the stares and being watched especially if they are calmly and quietly trying any try me product youd think they were stealing with the looks the staff gives them the men that work there are especially rude and ive overheard them badmouthing customers and complaining about them several times how they are so annoying and discussing all of the annoying things customers do i mean im just one small aisle over and they have no qualms with talking loudly about it knowing i can hear them very stuck up the constant hovering while rudely saying do you need any help with anything still doing ok is there something you need what are you looking for still doing ok are you still doing ok with a complete attitude if they were being polite and friendly instead of pushy and inconsiderate it may be a different story you get extra stares if you are browsing through the higherend products i try to make small talk with the people behind the register while being ringed out because im a friendly person and they act like your bothering them just all around a snotty environment that i dont wish to come back to im sure not all of the employees are this way i have had good experiences with just a couple of the women that work there but the other unpleasant experiences stand out the most  make me hesitant to return,10,2019,14:54:36,Y
jtRjv6VBDHdk81UoKuFOww,DJZQCN0NUej_EtviN4rUlg,1.0,given this store three chances now to treat me nice when purchasing makeup no one ever approaches asking to assist me or help me try on foundation shades first two times i made 200 purchases regardless of lack of respect or common courtesy from them third time walked out empty handed after coming in with my infant twins and being looked at from afar by two young employees as they talked about keeping an eye on me as if im a theif i would suggest to anyone considering this store to drive the extra couple miles to the sephora in ardmore as i did after leaving here at sephora i was seen as the exhausted mother of newborns that needed help with skincare and given the much deserved respect i deserved as a customer,3,2019,09:20:03,Y
dA7uBWRP6-NmOqPd1QqPwg,idP674ti6a8yg8z2xFcCgA,1.0,i dont know why i keep going in this store but the help there doesnt even know where things are in the store the shelves are never stocked once things are sold out you can wait weeks to get what youre looking for their books that are mailed out have all the good coupons and free gifts to online shoppers only and a few times ive forgotten the 250 or 350 coupon in store and regardless that im a member there they wont give it to you so disappointed with ulta,11,2019,12:59:25,Y
FdItCTIYBCwm-g_VOqoIDQ,idP674ti6a8yg8z2xFcCgA,5.0,"i was so happy to find out they put an ulta in newtown square i live in the area and love ulta i have been here several times i came here on sunday and the ignorance by the employees this day was the icing on the cake every time i come in im never greeted employees are always up front talking about their personal lives when you do need something or you want to leave they are rude because you interrupted them you also have to remind them to put your phone number in the pos so you get your points i asked about nars makeup they had i was looking for what was back in stock the girl screamed across the store regarding a lipgloss didnt come help me to talk screamed across the store thats just pure laziness i was so mad i left and said thanks for no help i had to post i dont know who the manager is do something about the rude behavior laziness and lack of knowledge on the product 


 update 10252018   i came back to give 5 stars there are new people here they are always helpful and do say hi to you when you walk in",10,2019,06:41:04,Y
Ltn-FyXdf8F7GW0nRB6nyw,DJZQCN0NUej_EtviN4rUlg,4.0,"a great option for an affordable haircut tiffany j did an amazing job my hair is very curly and i have struggled to find a trusty local stylist who would truly work with curls the haircut was professional and dont well

my one complaint would be that i had a 245pm appt and my haircut wasnt started until almost an hour later the salon was pretty busy and tiffany had a handful of clients there for her i wasnt in a rush and had a book with me so i was fine to wait this time the ulta employees did a great job of checking in on me and making sure i didnt need anything which i appreciated i am hopeful that there will not be a wait next time 


tiffany will be moving to the new ulta in the gallery mall at the end of september 2019",9,2019,02:00:29,Y
a3-SpoJg8of45U9fMAXJQw,idP674ti6a8yg8z2xFcCgA,5.0,"i am so happy with my experience here in the newtown square ulta so knowledgeable and helpful i highly recommend asking the staff if you are unsure about anything obviously with the virus they cant open testers i had a nearly empty pressed powder from mac and thats so far away so i was trying to find a match in my skin color i picked clinique and claudia helped me with finding a similar product i would have definitely bought the wrong powder and she within a minute found the winner thanks  claudia for your guidance and thanks to ulta for hiring excellent employees and treating them well enough that they visibly enjoy their jobs
i would add that i live a mile away so i am often at this store and once they even helped me find my lost phone by calling it for me while i searched my car when i go to sephora i can never get anyones attention and when i do they are annoyed way different experience here",8,2020,18:43:06,Y
QdnaGhhCrFuPi-L2fppFaQ,idP674ti6a8yg8z2xFcCgA,1.0,"the difference between the ns ulta and the springfield ulta is night and day there is much more product available at springfield and the customer service is 100 better at springfield its really a shame ultas reputation is being damaged because of this one store

you walk in this store you look around for what you need and not one employee asks if you need help there are at least 5 workers in the floor doing nothing but chatting with each other im staying with the springfield store for sure",2,2019,16:26:20,Y
ZhFJu-50RK6Medpb7rkf3A,4uqRhXZTOzKF2ZhxbWzxfA,1.0,ulta has a promo buy 60 of purology get a free gift i was told only one free gift per customer though i was buying 200 worth of product and an additional 150 back to sephora where they appreciate a great  customer,12,2019,18:19:46,Y
