año,stars,review_id,user_id,business_id,useful,funny,cool,text,date
2007,4.0,1,1,1,1,1,1,1,1
2007,5.0,1,1,1,1,1,1,1,1
2008,2.0,1,1,1,1,1,1,1,1
2008,3.0,2,2,2,2,2,2,2,2
2008,4.0,1,1,1,1,1,1,1,1
2008,5.0,1,1,1,1,1,1,1,1
2009,2.0,2,2,2,2,2,2,2,2
2009,3.0,1,1,1,1,1,1,1,1
2009,4.0,1,1,1,1,1,1,1,1
2009,5.0,2,2,2,2,2,2,2,2
2010,1.0,1,1,1,1,1,1,1,1
2010,3.0,2,2,2,2,2,2,2,2
2010,4.0,8,8,8,8,8,8,8,8
2010,5.0,2,2,2,2,2,2,2,2
2011,1.0,2,2,2,2,2,2,2,2
2011,2.0,3,3,3,3,3,3,3,3
2011,3.0,3,3,3,3,3,3,3,3
2011,4.0,6,6,6,6,6,6,6,6
2011,5.0,7,7,7,7,7,7,7,7
2012,1.0,6,6,6,6,6,6,6,6
2012,2.0,10,10,10,10,10,10,10,10
2012,3.0,6,6,6,6,6,6,6,6
2012,4.0,16,16,16,16,16,16,16,16
2012,5.0,5,5,5,5,5,5,5,5
2013,1.0,10,10,10,10,10,10,10,10
2013,2.0,21,21,21,21,21,21,21,21
2013,3.0,15,15,15,15,15,15,15,15
2013,4.0,18,18,18,18,18,18,18,18
2013,5.0,30,30,30,30,30,30,30,30
2014,1.0,39,39,39,39,39,39,39,39
2014,2.0,24,24,24,24,24,24,24,24
2014,3.0,16,16,16,16,16,16,16,16
2014,4.0,29,29,29,29,29,29,29,29
2014,5.0,36,36,36,36,36,36,36,36
2015,1.0,48,48,48,48,48,48,48,48
2015,2.0,27,27,27,27,27,27,27,27
2015,3.0,16,16,16,16,16,16,16,16
2015,4.0,33,33,33,33,33,33,33,33
2015,5.0,63,63,63,63,63,63,63,63
2016,1.0,72,72,72,72,72,72,72,72
2016,2.0,28,28,28,28,28,28,28,28
2016,3.0,31,31,31,31,31,31,31,31
2016,4.0,40,40,40,40,40,40,40,40
2016,5.0,81,81,81,81,81,81,81,81
2017,1.0,101,101,101,101,101,101,101,101
2017,2.0,32,32,32,32,32,32,32,32
2017,3.0,23,23,23,23,23,23,23,23
2017,4.0,34,34,34,34,34,34,34,34
2017,5.0,144,144,144,144,144,144,144,144
2018,1.0,85,85,85,85,85,85,85,85
2018,2.0,36,36,36,36,36,36,36,36
2018,3.0,23,23,23,23,23,23,23,23
2018,4.0,29,29,29,29,29,29,29,29
2018,5.0,123,123,123,123,123,123,123,123
2019,1.0,137,137,137,137,137,137,137,137
2019,2.0,34,34,34,34,34,34,34,34
2019,3.0,22,22,22,22,22,22,22,22
2019,4.0,29,29,29,29,29,29,29,29
2019,5.0,129,129,129,129,129,129,129,129
2020,1.0,52,52,52,52,52,52,52,52
2020,2.0,18,18,18,18,18,18,18,18
2020,3.0,10,10,10,10,10,10,10,10
2020,4.0,7,7,7,7,7,7,7,7
2020,5.0,56,56,56,56,56,56,56,56
2021,1.0,59,59,59,59,59,59,59,59
2021,2.0,14,14,14,14,14,14,14,14
2021,3.0,6,6,6,6,6,6,6,6
2021,4.0,2,2,2,2,2,2,2,2
2021,5.0,53,53,53,53,53,53,53,53
2022,1.0,3,3,3,3,3,3,3,3
2022,3.0,1,1,1,1,1,1,1,1
2022,4.0,1,1,1,1,1,1,1,1
2022,5.0,2,2,2,2,2,2,2,2
