category,count
Restaurant,97257
Auto repair shop,77854
Gas station,70143
Service establishment,66476
Beauty salon,65717
Convenience store,62165
Church,53069
Hair salon,51765
Nail salon,44597
ATM,42452
Park,42414
Doctor,36669
Clothing store,36470
Dentist,36138
Insurance agency,35677
Barber shop,35325
Grocery store,31699
Bar,30931
Cell phone store,30584
Tire shop,29633
Tourist attraction,29623
Non-profit organization,28992
Fast food restaurant,28799
Used car dealer,26560
Gift shop,26295
Coffee shop,25361
Massage therapist,25268
Bank,25200
Auto insurance agency,24871
Takeout Restaurant,23915
Pizza restaurant,23814
Auto parts store,23520
Corporate office,23162
Auto body shop,22917
Sandwich shop,22833
Apartment complex,22730
Real estate agency,22652
Electronics store,22563
Attorney,22542
Women's clothing store,22274
Gym,22245
Apartment building,21966
Caterer,21849
Home insurance agency,21761
Furniture store,21451
Oil change service,20850
Baptist church,20841
Life insurance agency,20742
Cafe,20462
Shoe store,20457
Car repair and maintenance,20091
Pharmacy,19869
Bakery,19048
Medical clinic,18901
Brake shop,18796
Self-storage facility,18541
Renter's insurance agency,18317
Store,17776
Mexican restaurant,17203
American restaurant,17188
Shipping and mailing service,16927
Drug store,16895
Liquor store,16782
Cosmetics store,16494
Tobacco shop,16305
Cosmetic dentist,16276
Beauty supply store,16255
Pet groomer,16219
Jewelry store,15974
Home goods store,15803
Fashion accessories store,15697
Chiropractor,15588
Car wash,15386
Car dealer,15247
Plumber,15212
Veterinarian,14334
Discount store,14065
Event venue,13840
Waxing hair removal service,13752
Business center,13291
Breakfast restaurant,13204
Manufacturer,13145
River,12939
Lake,12908
General contractor,12648
Ice cream shop,12591
Home builder,12441
Storage facility,12361
Delivery Restaurant,12323
Optometrist,12255
Dental clinic,12172
Towing service,12125
Toy store,12101
Hardware store,12055
Air conditioning contractor,11893
Men's clothing store,11891
Florist,11864
HVAC contractor,11788
Mechanic,11752
Laundromat,11678
Telecommunications service provider,11500
Loan agency,11482
Motorcycle insurance agency,11401
Logistics service,11307
Law firm,11247
Chinese restaurant,11227
Real estate agents,11184
Telephone company,11122
Deli,11046
Money order service,11038
Social services organization,11033
Truck rental agency,10967
Mortgage lender,10933
Bar & grill,10884
Trucking company,10876
Property management company,10786
Physical fitness program,10752
Heating contractor,10719
Car battery store,10580
Truck accessories store,10563
Dry cleaner,10500
School,10362
Construction company,10304
Shopping mall,10296
Family practice physician,10290
Eye care center,10288
Moving and storage service,10242
Spa,10084
Farm,10053
Dollar store,10046
Tax preparation service,10012
Religious organization,9991
Landscaper,9905
Roofing contractor,9862
Fitness center,9781
Apartment rental agency,9765
Truck repair shop,9752
Transmission shop,9704
Contractor,9687
Print shop,9674
Mattress store,9622
Electronic parts supplier,9510
Air conditioning repair service,9499
Personal injury attorney,9492
Transportation service,9486
Moving supply store,9412
Van rental agency,9344
Electrician,9275
Italian restaurant,9201
Campground,9151
Garden center,9064
Personal trainer,9009
Association or organization,8951
Warehouse,8898
Vaporizer store,8793
Facial spa,8789
Boutique,8755
Pizza delivery,8685
Art gallery,8674
Vitamin & supplements store,8668
Computer repair service,8645
Packaging supply store,8589
Auto tune up service,8496
Condominium complex,8481
Appliance store,8285
Post office,8284
Dessert shop,8118
Car detailing service,8092
Home improvement store,8083
Wheel alignment service,8081
Optician,8065
Greeting card shop,7925
Antique store,7892
Catholic church,7851
Paint store,7835
Dental implants periodontist,7749
Tattoo shop,7717
Pediatric dentist,7704
Pest control service,7696
Animal hospital,7673
Children's clothing store,7672
Massage spa,7667
Pizza Takeout,7643
Sign shop,7637
Historical landmark,7628
Bus stop,7616
Sunglasses store,7601
Thrift store,7596
Sporting goods store,7586
Jeweler,7581
Physical therapy clinic,7562
Insurance company,7561
Trailer rental service,7545
Parking lot,7512
Wine store,7465
Tree service,7454
Beer store,7439
Legal services,7433
Orthodontist,7421
Teeth whitening service,7378
Day spa,7366
Mobile home park,7331
School supply store,7303
Photographer,7265
Trailer supply store,7154
Museum,7141
Hiking area,7082
Boat storage facility,7074
Emergency dental service,7000
Hamburger restaurant,6976
Auto glass shop,6925
Family law attorney,6923
Financial institution,6815
Flooring store,6763
RV storage facility,6725
Perfume store,6719
Community center,6679
Lawn care service,6598
Mover,6598
Kitchen remodeler,6583
Professional services,6547
Medical Center,6542
Shipping service,6515
Bathroom remodeler,6390
Contact lenses supplier,6374
Criminal justice attorney,6372
Hairdresser,6371
Carpet cleaning service,6357
Wedding venue,6352
Wellness center,6306
Skin care clinic,6304
Tax consultant,6277
Financial planner,6275
Hotel,6222
Urgent care center,6206
Seafood restaurant,6184
Office supply store,6123
Notary public,6123
Tanning salon,6081
Financial consultant,6048
Public library,6047
Used truck dealer,5948
Graphic designer,5902
Bedroom furniture store,5895
Credit union,5838
Car rental agency,5814
Supermarket,5813
Lawn mower store,5766
Donut shop,5759
Asian restaurant,5736
Pet supply store,5674
Distribution service,5658
Physical therapist,5647
Automobile storage facility,5646
Computer store,5644
Window installation service,5624
Business to business service,5562
Locksmith,5535
Elementary school,5527
Recreation center,5525
Methodist church,5503
Tool store,5499
Orthopedic surgeon,5459
Cell phone accessory store,5452
Freight forwarding service,5410
Money transfer service,5342
Commercial printer,5321
Wholesaler,5320
Family restaurant,5311
Stationery store,5308
Recycling center,5296
Pediatrician,5292
Jewelry repair service,5243
Appliance repair service,5235
Pet boarding service,5225
Software company,5160
Internist,5154
Painting,5144
Juice shop,5134
Weight loss service,5118
Painter,5099
Divorce lawyer,5095
Building materials supplier,5089
Day care center,5085
Health food store,5058
Window tinting service,5042
Employment agency,5008
Diesel fuel supplier,4987
Movie rental store,4958
Chicken wings restaurant,4908
Auto electrical service,4890
Repair service,4885
Party store,4860
Flooring contractor,4853
Internet service provider,4851
DVD store,4836
Equipment rental agency,4815
Mailing service,4814
Building materials store,4786
Estate planning attorney,4764
Real estate consultant,4755
Chauffeur service,4741
Fraternal organization,4731
Auto wrecker,4725
Medical supply store,4709
Plant nursery,4689
Barbecue restaurant,4668
Landscaping supply store,4650
Gun shop,4645
Craft store,4642
Medical spa,4630
Movie rental kiosk,4625
Landscape designer,4602
Car accessories store,4592
Clothing alteration service,4589
Christian church,4588
Sportswear store,4559
Discount supermarket,4558
Interior designer,4546
Concrete contractor,4528
Veterans organization,4522
Computer consultant,4504
Martial arts school,4497
Chicken restaurant,4487
Rehabilitation center,4479
Website designer,4469
Book store,4467
Plumbing supply store,4454
Oral surgeon,4438
Preschool,4436
Auto dent removal service,4425
Furnace repair service,4418
Yoga studio,4387
Marketing agency,4374
Watch store,4352
Real estate developer,4347
Obstetrician-gynecologist,4329
Mobile phone repair shop,4324
Propane supplier,4280
Car stereo store,4267
Kitchen supply store,4234
Lumber store,4208
Banquet hall,4202
Car finance and loan company,4196
Title company,4194
Electronics repair shop,4174
Truck dealer,4153
Coffee store,4137
Door supplier,4115
Car inspection station,4112
Accountant,4093
Pressure washing service,4091
Consignment shop,4087
House cleaning service,4080
Pawn shop,4077
Bedding store,4072
Tool rental service,4057
Water damage restoration service,4056
Muffler shop,4044
Passport photo processor,4030
Diesel engine repair service,4012
Lodging,4010
Tax preparation,4003
Jewelry designer,3991
Cannabis store,3988
Dog day care center,3985
Mailbox rental service,3983
Sports complex,3980
Shredding service,3971
United Methodist church,3959
Tailor,3957
Business management consultant,3949
Japanese restaurant,3935
Sports medicine clinic,3918
Computer support and services,3904
Bicycle Shop,3897
Event planner,3890
Marketing consultant,3887
Denture care center,3885
Carpet store,3883
Consultant,3883
Department store,3874
Real estate attorney,3870
Hair removal service,3865
Housing development,3850
Dog trainer,3848
Sports massage therapist,3846
Waste management service,3842
Travel agency,3836
RV park,3833
Wedding service,3820
Photo lab,3806
Pain management physician,3805
Boat ramp,3800
Commercial real estate agency,3797
Assisted living facility,3757
Siding contractor,3742
County government office,3724
Dermatologist,3722
Snack bar,3721
Auto body parts supplier,3708
Screen printer,3699
Trial attorney,3697
Cemetery,3691
Golf course,3689
Photo shop,3689
Surgeon,3685
Watch repair service,3685
Handyman,3677
Mental health service,3677
Motorcycle parts store,3668
Auto restoration service,3668
Health food restaurant,3661
Funeral home,3653
Insurance broker,3650
Retirement community,3650
Butcher shop,3644
Winery,3619
Senior citizen center,3616
City government office,3613
Lighting store,3610
Church of Jesus Christ of Latter-day Saints,3599
Cigar shop,3598
Pet store,3584
Home inspector,3568
Party equipment rental service,3566
Lounge,3564
Excavating contractor,3562
Presbyterian church,3553
Delivery service,3548
Lutheran church,3546
Nursing home,3542
Espresso bar,3542
Make-up artist,3534
Sushi restaurant,3517
Variety store,3504
Parking garage,3499
Lawn mower repair service,3484
Fence contractor,3483
Gutter cleaning service,3473
Vacation home rental agency,3468
Playground,3468
Sports bar,3465
Electric vehicle charging station,3457
Candy store,3442
Heating equipment supplier,3438
Night club,3434
Hearing aid store,3433
Air duct cleaning service,3429
Cake shop,3422
Mountain peak,3412
Camp,3397
Boat repair shop,3395
Industrial equipment supplier,3393
Real estate rental agency,3373
Wine bar,3367
Kennel,3363
Key duplication service,3352
Medical laboratory,3350
Bagel shop,3347
Farm equipment supplier,3344
Fire station,3339
Auto radiator repair service,3330
Electrical supply store,3316
Outdoor furniture store,3315
Alternative medicine practitioner,3303
Custom home builder,3296
Dance school,3289
Hospital,3286
Motorcycle repair shop,3267
Cocktail bar,3267
Window supplier,3262
Commercial cleaning service,3236
Gas company,3228
Gift basket store,3222
Diagnostic center,3217
Lingerie store,3210
Ophthalmologist,3195
Performing arts theater,3191
Home health care service,3189
Nutritionist,3186
Dental hygienist,3180
Advertising agency,3161
Check cashing service,3150
Nature preserve,3135
High school,3122
Tile store,3108
General store,3102
Wedding photographer,3089
Swimming pool contractor,3088
Small engine repair service,3085
Walk-in clinic,3084
Taco restaurant,3074
Promotional products supplier,3068
Internet marketing service,3067
Pet sitter,3048
Podiatrist,3044
Live music venue,3039
Garbage collection service,3038
Endodontist,3034
Remodeler,3013
Countertop store,3010
Construction equipment supplier,3006
Marina,3001
Wheel store,3000
Produce market,2989
Custom t-shirt store,2977
Non-denominational church,2959
Portrait studio,2955
Auto air conditioning service,2955
Bridal shop,2947
Collectibles store,2942
